iso_a3,name,pop_est,gdp_md_est,continent
TWN,Taiwan,23508428,1127000.0,Asia
ITA,Italy,62137802,2221000.0,Europe
DNK,Denmark,5605948,264800.0,Europe
GBR,United Kingdom,64769452,2788000.0,Europe
ISL,Iceland,339747,16150.0,Europe
AZE,Azerbaijan,9961396,167900.0,Asia
GEO,Georgia,4926330,37270.0,Asia
PHL,Philippines,104256076,801900.0,Asia
MYS,Malaysia,31381992,863000.0,Asia
BRN,Brunei,443593,33730.0,Asia
SVN,Slovenia,1972126,68350.0,Europe
FIN,Finland,5491218,224137.0,Europe
SVK,Slovakia,5445829,168800.0,Europe
CZE,Czechia,10674723,350900.0,Europe
ERI,Eritrea,5918919,9169.0,Africa
JPN,Japan,126451398,4932000.0,Asia
PRY,Paraguay,6943739,64670.0,South America
YEM,Yemen,28036829,73450.0,Asia
SAU,Saudi Arabia,28571770,1731000.0,Asia
ATA,Antarctica,4050,810.0,Antarctica
-99,N. Cyprus,265100,3600.0,Asia
CYP,Cyprus,1221549,29260.0,Asia
MAR,Morocco,33986655,282800.0,Africa
EGY,Egypt,97041072,1105000.0,Africa
LBY,Libya,6653210,90890.0,Africa
ETH,Ethiopia,105350020,174700.0,Africa
DJI,Djibouti,865267,3345.0,Africa
-99,Somaliland,3500000,12250.0,Africa
UGA,Uganda,39570125,84930.0,Africa
RWA,Rwanda,11901484,21970.0,Africa
BIH,Bosnia and Herz.,3856181,42530.0,Europe
MKD,Macedonia,2103721,29520.0,Europe
SRB,Serbia,7111024,101800.0,Europe
MNE,Montenegro,642550,10610.0,Europe
-99,Kosovo,1895250,18490.0,Europe
TTO,Trinidad and Tobago,1218208,43570.0,North America
SSD,S. Sudan,13026129,20880.0,Africa
