"code","campaign","no2","lat","lon"
"194979","facade",17.5,50.88923,3.552149
"194991","facade",22.2,51.005320000000005,5.358161
"194994","facade",15.5,50.97514,3.997093
"194997","facade",19.3,50.80377,4.9368050000000006
"195006","facade",22.1,51.16122,4.180288
"195018","facade",20.0,51.084140000000005,3.9539800000000005
"195045","facade",39.8,50.90233,4.71889
"195051","facade",19.6,51.2124,4.595408
"195060","facade",15.0,50.8479,4.825589
"195099","facade",23.4,50.9521911780573,4.05900173499934
"195102","facade",30.3,51.21715,4.412508
"195117","facade",17.0,50.94266,4.639442
"195132","facade",17.4,50.9742,4.983122
"195138","facade",18.5,51.2605,4.556348000000001
"195156","facade",17.2,51.13629,4.867803
"195168","facade",21.6,51.26931,3.608025
"195201","facade",19.6,50.87854,4.747324
"195204","facade",15.5,51.10496,5.172414
"195210","facade",16.9,51.13989,3.300764
"195216","facade",18.3,50.85045,4.018004
"195225","facade",35.1,51.007542231992595,3.8889203041527303
"195243","facade",22.4,51.02395,4.426880000000001
"195249","facade",17.4,51.168929999999996,3.068127
"195252","facade",22.0,51.065993988589604,2.73399486089373
"195267","facade",19.1,51.20552,3.765565
"195276","facade",25.7,50.92425,4.033597
"195285","facade",21.8,51.1823,4.511268
"195291","facade",21.3,51.18379,4.548875
"195297","facade",26.6,50.93562,4.7293650000000005
"195312","facade",35.4,51.18401,4.836659
"195321","facade",34.2,51.26936,4.866962
"195324","facade",32.6,51.08185,3.7878760000000002
"195327","facade",20.2,51.07971,4.201439
"195339","facade",15.0,50.76047,5.212687
"195342","facade",20.1,51.06033,4.552899
"195354","facade",45.8,51.2238,4.4168709999999995
"195357","facade",44.4,51.206291295384595,4.4041655359888
"195366","facade",25.1,50.81028,3.3381769999999995
"195387","facade",23.7,51.312670000000004,3.1409990000000003
"195432","facade",42.0,50.92858,4.421686
"195441","facade",24.0,51.15918,4.4975
"195450","facade",19.1,50.85953,4.660114
"195465","facade",16.5,50.84408,4.950188
"195489","facade",23.7,50.98203,4.837115
"195528","facade",28.9,51.03337,3.745308
"195540","facade",20.9,51.14504,4.061941
"195552","facade",26.3,50.885329999999996,4.721664
"195564","facade",31.4,50.93229,3.1576459999999997
"195612","facade",19.2,51.36486,4.466319
"195636","facade",21.9,50.975809999999996,5.522397
"195669","facade",30.2,51.28347,4.4504269999999995
"195708","facade",36.0,51.21883,4.435576
"195714","facade",26.9,51.177929999999996,4.396294999999999
"195717","facade",21.8,50.9653806439991,3.6379926610639197
"195729","facade",18.0,51.31322,4.870496
"195735","facade",26.8,51.08768,4.638816
"195738","facade",17.5,50.746790000000004,4.6159300000000005
"195750","facade",21.4,50.94088,3.953721
"195753","facade",43.5,51.176190000000005,4.151638
"195783","facade",48.8,51.06525,3.700811
"195807","facade",35.8,51.03487,4.479095
"195834","facade",18.9,50.79721,4.019431
"195870","facade",21.4,50.85931,2.620639
"195879","facade",25.4,50.99343,4.116348
"195894","facade",33.8,50.73949,4.24844
"195951","facade",34.5,50.94912,3.131752
"196002","facade",29.9,51.060790000000004,3.745032
"196020","facade",19.6,51.33145,4.95362
"196047","facade",39.4,51.20844,4.431422
"196053","facade",23.2,50.86937,4.701901
"196068","facade",26.1,50.89705,4.106980999999999
"196074","facade",24.0,50.86600000000001,2.8549919999999998
"196089","facade",26.2,51.14717,4.466762
"196119","facade",23.5,50.91189,3.36999
"196122","facade",28.3,50.790690000000005,3.200159
"196131","facade",23.8,50.967009999999995,3.6268860000000003
"196134","facade",19.1,51.138940000000005,4.534093
"196140","facade",20.6,50.93972,3.997535
"196143","facade",35.3,51.16042,4.132441
"196146","facade",22.1,50.88563,4.534207
"196197","facade",34.5,51.11408,4.144601000000001
"196203","facade",35.7,50.88223,4.687126
"196212","facade",20.1,51.02025,4.78064
"196230","facade",20.7,51.11996,3.685481
"196251","facade",20.5,51.245670000000004,3.5567949999999997
"196263","facade",21.8,50.968340000000005,3.975476
"196269","facade",18.0,51.12594,3.612211
"196284","facade",18.5,51.35508,4.5376449999999995
"196290","facade",20.8,50.948479999999996,5.307951999999999
"196317","facade",21.8,51.23196,5.3098279999999995
"196323","facade",21.0,51.18792,4.168534999999999
"196338","facade",28.8,51.1256,4.211879
"196350","facade",16.9,51.05506,5.70448
"196359","facade",27.2,50.97645,5.488961
"196362","facade",19.6,51.01809,3.565253
"196365","facade",18.9,50.968540000000004,4.174531
"196383","facade",19.8,50.903420000000004,4.228066
"196389","facade",22.2,51.00141,4.277083
"196392","facade",22.3,50.900659999999995,3.12127
"196401","facade",21.4,50.76722,4.459022
"196416","facade",16.0,50.849270000000004,3.476351
"196419","facade",24.7,51.15849,4.995475
"196440","facade",19.7,51.12012,3.716844
"196452","facade",18.5,51.012029999999996,4.928291000000001
"196455","facade",21.8,51.07322,3.762436
"196476","facade",47.3,51.05682,3.7358010000000004
"196479","facade",27.2,51.04059,3.704935
"196485","facade",17.2,50.94194,4.9777379999999996
"196488","facade",19.0,51.082640000000005,4.739873
"196494","facade",20.4,50.95932,4.521782
"196500","facade",16.3,50.84465,4.979528
"196503","facade",25.3,51.18523,3.6267169999999997
"196509","facade",15.7,51.195609999999995,5.030061
"196512","facade",20.9,51.199529999999996,3.1878729999999997
"196521","facade",37.6,51.16137,4.360829
"196527","facade",23.9,51.06965,4.718325
"196533","facade",21.7,50.999179999999996,3.7024449999999995
"196545","facade",19.9,50.976079999999996,3.147302
"196563","facade",21.8,50.91127,4.66224
"196575","facade",29.9,51.22327,4.475996
"196578","facade",31.6,50.908770000000004,4.348715
"196593","facade",18.2,50.899370000000005,5.30992
"196623","facade",29.5,51.158229999999996,4.147606
"196635","facade",18.7,50.8622,4.7081610000000005
"196647","facade",26.9,51.01757,3.7034870000000004
"196683","facade",41.7,50.9403,4.034517
"196686","facade",27.5,51.17266,4.353276999999999
"196701","facade",20.2,51.24109,4.574344
"196707","facade",24.1,51.059259999999995,4.576778
"196716","facade",17.0,50.94084,4.390469
"196737","facade",15.4,50.993320000000004,5.681115
"196752","facade",24.0,50.8454,4.585712
"196791","facade",20.9,51.25359,4.5104169999999995
"196794","facade",35.9,50.940329999999996,4.028766
"196800","facade",16.8,50.8315335302448,5.446083013564429
"196803","facade",23.1,50.82112,3.8909190000000002
"196821","facade",24.4,51.02528,4.465152
"196830","facade",23.2,51.109840000000005,3.6948839999999996
"196836","facade",26.4,51.05213,3.71429
"196842","facade",30.4,51.14289,4.165776
"196845","facade",33.8,51.20251,4.449552
"196851","facade",23.6,50.95818,4.229206
"196860","facade",52.3,51.05165,3.7406800000000002
"196863","facade",27.7,51.33667,3.2426009999999996
"196872","facade",16.5,50.932140000000004,4.083014
"196875","facade",20.2,50.96042,3.64572
"196896","facade",23.1,51.00059,4.30682
"196917","facade",44.1,51.22139,4.43133
"196920","facade",29.7,51.09977,3.761086
"196929","facade",34.0,51.176840000000006,4.352705
"196938","facade",25.2,51.16237,4.402837
"196941","facade",34.5,51.06456,3.729068
"196944","facade",21.1,51.1863,3.179279
"196953","facade",19.6,51.18838,3.3320790000000002
"196959","facade",27.4,50.8193,5.180769000000001
"196968","facade",22.1,51.06662,3.829283
"196974","facade",35.5,51.16783,4.426125
"196989","facade",23.4,51.202329999999996,3.186099
"196992","facade",21.0,50.96965,5.497479
"196998","facade",20.4,51.1848244913037,4.09930346176233
"197004","facade",19.2,51.19467,3.268563
"197013","facade",17.4,50.76656,4.534142
"197022","facade",25.7,51.16687,4.132692
"197025","facade",23.0,51.05878,4.663576
"197040","facade",23.5,51.068020000000004,3.8727709999999997
"197043","facade",28.4,51.050940000000004,3.7265089999999996
"197046","facade",18.2,51.00566,4.063639
"197064","facade",18.7,51.17869,4.939472
"197094","facade",21.5,50.87101,4.541425
"197103","facade",22.7,51.183240000000005,3.1554159999999998
"197130","facade",28.7,51.13001,4.444744999999999
"197139","facade",19.7,50.950590000000005,4.06619
"197151","facade",28.0,50.97948,3.65706
"197154","facade",18.6,50.87464,5.511535
"197160","facade",16.5,50.76295,5.259564
"197205","facade",19.3,50.96995,3.1531
"197208","facade",36.2,51.040929999999996,4.448386
"197220","facade",20.0,50.95069,4.0484919999999995
"197232","facade",22.7,50.83242,3.1692259999999997
"197241","facade",20.9,51.160090000000004,4.1594120000000006
"197250","facade",26.7,51.19737,3.8080239999999996
"197262","facade",44.6,51.20957,3.224669
"197265","facade",21.0,51.29600000000001,4.429426
"197268","facade",20.1,50.99126,5.158455
"197286","facade",26.2,50.952367745309104,4.30035924963899
"197292","facade",36.3,50.86622,4.711042
